Almacen,Código de barras,Stock min,Stock Max
Sucursal Centro,3401395376935,0,0
Sucursal Centro,3701129812013,1,1
Sucursal Centro,3401575645851,0,0
Sucursal Centro,3401396991830,0,0
Sucursal Centro,3401348840421,3,3
Sucursal Centro,3701129805367,0,0
Sucursal Centro,3701129801369,0,0
Sucursal Centro,3401361353625,2,2
Sucursal Centro,3701129809280,1,1
Sucursal Centro,3701129812099,2,2
Sucursal Centro,3401346673335,1,1
Sucursal Centro,3701129804452,1,1
Sucursal Centro,3701129804995,1,1
Sucursal Centro,3401397240470,1,1
Sucursal Centro,3401573670282,1,1
Sucursal Centro,3701129800850,2,2
Sucursal Centro,3401381507565,1,1
Sucursal Centro,3701129800843,3,3
Sucursal Centro,3701129812075,1,1
Sucursal Centro,3401395376706,0,0
Sucursal Centro,3401575390447,1,1
Sucursal Centro,3401345935571,1,1
Sucursal Centro,3701129812129,1,1
Sucursal Centro,3401396991779,0,0
Sucursal Centro,3701129812044,1,1
Sucursal Centro,3401360212237,0,0
Sucursal Centro,792105676159,0,0
Sucursal Centro,8030243005137,0,0
Sucursal Centro,8030243009159,0,0
Sucursal Centro,8030243000583,0,0
Sucursal Centro,8030243009166,0,0
Sucursal Centro,8030243008497,0,0
Sucursal Centro,8030243000552,0,0
Sucursal Centro,8030243005144,0,0
Sucursal Centro,8030243000538,0,0
Sucursal Centro,8030243000521,0,0
Sucursal Centro,8030243000545,0,0
Sucursal Centro,8030243019554,0,0
Sucursal Centro,8030243008510,0,0
Sucursal Centro,8030243001023,0,0
Sucursal Centro,8030243001030,0,0
Sucursal Centro,8030243003041,0,0
Sucursal Centro,8030243001139,0,0
Sucursal Centro,8030243001122,0,0
Sucursal Centro,8030243001047,0,0
Sucursal Centro,8030243003034,0,0
Sucursal Centro,8030243003010,0,0
Sucursal Centro,8030243003003,0,0
Sucursal Centro,8030243001160,0,0
Sucursal Centro,8030243001054,0,0
Sucursal Centro,8030243001177,0,0
Sucursal Centro,8030243001115,0,0
Sucursal Centro,8030243001153,0,0
Sucursal Centro,8030243001146,0,0
Sucursal Centro,8030243001061,0,0
Sucursal Centro,8030243001078,0,0
Sucursal Centro,8030243021137,0,0
Sucursal Centro,8030243015242,0,0
Sucursal Centro,8030243015266,0,0
Sucursal Centro,8030243015273,0,0
Sucursal Centro,8437015460529,0,0
Sucursal Centro,8437015460369,1,1
Sucursal Centro,8437015460376,0,0
Sucursal Centro,8437015460413,0,0
Sucursal Centro,2001,11,35
Sucursal Centro,8436574360455,2,2
Sucursal Centro,8470002160040,0,0
Sucursal Centro,8470001743749,1,1
Sucursal Centro,8436574361599,1,1
Sucursal Centro,8470002116511,2,2
Sucursal Centro,8436574362336,0,0
Sucursal Centro,8436574361582,0,0
Sucursal Centro,8470001729057,0,0
Sucursal Centro,8470001908285,1,1
Sucursal Centro,8470001945761,2,2
Sucursal Centro,8470001951854,0,0
Sucursal Centro,8470001800435,0,0
Sucursal Centro,8470001895752,0,0
Sucursal Centro,8436574364033,1,1
Sucursal Centro,8436574365139,1,1
Sucursal Centro,8436574364484,1,1
Sucursal Centro,8470001682673,0,0
Sucursal Centro,8470001982032,0,0
Sucursal Centro,8470001982049,0,0
Sucursal Centro,8470001982056,0,0
Sucursal Centro,8470003310338,0,0
Sucursal Centro,8436574363692,0,0
Sucursal Centro,8470002117075,1,1
Sucursal Centro,8470002094857,1,1
Sucursal Centro,8436574360844,0,0
Sucursal Centro,8470003004343,0,0
Sucursal Centro,8470003987509,0,0
Sucursal Centro,8436574361032,2,2
Sucursal Centro,8470001997302,1,1
Sucursal Centro,8470002117181,1,1
Sucursal Centro,8436574362459,1,1
Sucursal Centro,8436574362442,1,1
Sucursal Centro,8470001615688,0,0
Sucursal Centro,8470003468237,2,2
Sucursal Centro,8436574361605,0,0
Sucursal Centro,8470001564832,1,1
Sucursal Centro,8470001529688,1,1
Sucursal Centro,8436574363166,2,2
Sucursal Centro,8436574364460,0,0
Sucursal Centro,8470001592453,1,1
Sucursal Centro,8470001977786,2,2
Sucursal Centro,8470001702852,0,0
Sucursal Centro,8470002100657,0,0
Sucursal Centro,8436574363388,3,3
Sucursal Centro,8470002141469,2,2
Sucursal Centro,8470002141452,0,0
Sucursal Centro,8470001776211,4,4
Sucursal Centro,8470001679864,0,0
Sucursal Centro,8470001724137,2,2
Sucursal Centro,8470001870483,1,1
Sucursal Centro,8470001873590,4,4
Sucursal Centro,8470001873583,2,2
Sucursal Centro,8470001746092,0,0
Sucursal Centro,8470002076747,0,0
Sucursal Centro,8470001977793,3,3
Sucursal Centro,8470002147102,1,1
Sucursal Centro,8470002024434,1,1
Sucursal Centro,8470001866608,1,1
Sucursal Centro,8470001847607,4,4
Sucursal Centro,8470001930156,3,3
Sucursal Centro,8470002044272,3,3
Sucursal Centro,8470001821478,1,1
Sucursal Centro,8470001813800,2,2
Sucursal Centro,8470001638151,0,0
Sucursal Centro,8470002029224,0,0
Sucursal Centro,8470002029231,0,0
Sucursal Centro,8470003935876,0,0
Sucursal Centro,8437015550923,1,1
Sucursal Centro,8436574360523,4,4
Sucursal Centro,8470001612335,1,1
Sucursal Centro,8470002089471,1,1
Sucursal Centro,8470001939456,2,2
Sucursal Centro,8470001653499,2,2
